Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Air Quality,PM2.5 Concentration,2014,10.24563022,"Census Tract 1132.31, Los Angeles County, California",113231,Chatsworth Reservoir,1400000US06037113231,"(34.2282065, -118.645614)",PM2.5_Concentration_2014_1400000US06037113231,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.41263161,"Census Tract 1132.32, Los Angeles County, California",113232,West Hills,1400000US06037113232,"(34.227417, -118.61402)",PM2.5_Concentration_2014_1400000US06037113232,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.45037701,"Census Tract 1132.33, Los Angeles County, California",113233,Canoga Park,1400000US06037113233,"(34.2275575, -118.6017175)",PM2.5_Concentration_2014_1400000US06037113233,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.48736088,"Census Tract 1132.34, Los Angeles County, California",113234,Canoga Park,1400000US06037113234,"(34.227624, -118.59227)",PM2.5_Concentration_2014_1400000US06037113234,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.15030274,"Census Tract 1132.35, Los Angeles County, California",113235,Chatsworth,1400000US06037113235,"(34.2373915, -118.6488335)",PM2.5_Concentration_2014_1400000US06037113235,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.25994957,"Census Tract 1132.37, Los Angeles County, California",113237,Chatsworth,1400000US06037113237,"(34.2451855, -118.6125745)",PM2.5_Concentration_2014_1400000US06037113237,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.47369603,"Census Tract 1133.01, Los Angeles County, California",113301,Northridge,1400000US06037113301,"(34.2448005, -118.5590895)",PM2.5_Concentration_2014_1400000US06037113301,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.39681319,"Census Tract 1133.03, Los Angeles County, California",113303,Chatsworth,1400000US06037113303,"(34.2420235, -118.5801645)",PM2.5_Concentration_2014_1400000US06037113303,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.26416717,"Census Tract 1133.21, Los Angeles County, California",113321,Chatsworth,1400000US06037113321,"(34.25361, -118.5913535)",PM2.5_Concentration_2014_1400000US06037113321,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.33592436,"Census Tract 1133.22, Los Angeles County, California",113322,Chatsworth,1400000US06037113322,"(34.253622, -118.571362)",PM2.5_Concentration_2014_1400000US06037113322,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.60487267,"Census Tract 1134.01, Los Angeles County, California",113401,Winnetka,1400000US06037113401,"(34.2279845, -118.562301)",PM2.5_Concentration_2014_1400000US06037113401,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.4723554,"Census Tract 1134.21, Los Angeles County, California",113421,Winnetka,1400000US06037113421,"(34.234694, -118.5826685)",PM2.5_Concentration_2014_1400000US06037113421,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.5576186,"Census Tract 1134.22, Los Angeles County, California",113422,Winnetka,1400000US06037113422,"(34.224085, -118.5821745)",PM2.5_Concentration_2014_1400000US06037113422,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.6893289,"Census Tract 1151.01, Los Angeles County, California",115101,Northridge,1400000US06037115101,"(34.239435, -118.5112365)",PM2.5_Concentration_2014_1400000US06037115101,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.59047788,"Census Tract 1151.03, Los Angeles County, California",115103,Northridge,1400000US06037115103,"(34.246414, -118.528551)",PM2.5_Concentration_2014_1400000US06037115103,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.66619539,"Census Tract 1151.04, Los Angeles County, California",115104,Northridge,1400000US06037115104,"(34.2395005, -118.523595)",PM2.5_Concentration_2014_1400000US06037115104,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.55061886,"Census Tract 1152.01, Los Angeles County, California",115201,Northridge,1400000US06037115201,"(34.244559, -118.537408)",PM2.5_Concentration_2014_1400000US06037115201,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.64315563,"Census Tract 1152.02, Los Angeles County, California",115202,Northridge,1400000US06037115202,"(34.2338575, -118.537507)",PM2.5_Concentration_2014_1400000US06037115202,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.52337308,"Census Tract 1153.01, Los Angeles County, California",115301,Northridge,1400000US06037115301,"(34.240482, -118.545339)",PM2.5_Concentration_2014_1400000US06037115301,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.66542698,"Census Tract 1153.02, Los Angeles County, California",115302,Northridge,1400000US06037115302,"(34.226401, -118.5498615)",PM2.5_Concentration_2014_1400000US06037115302,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.8094735,"Census Tract 1154.01, Los Angeles County, California",115401,Northridge,1400000US06037115401,"(34.2247565, -118.5149735)",PM2.5_Concentration_2014_1400000US06037115401,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.74773462,"Census Tract 1154.03, Los Angeles County, California",115403,Northridge,1400000US06037115403,"(34.22481, -118.5317135)",PM2.5_Concentration_2014_1400000US06037115403,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.70579448,"Census Tract 1154.04, Los Angeles County, California",115404,Northridge,1400000US06037115404,"(34.2257645, -118.5412445)",PM2.5_Concentration_2014_1400000US06037115404,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.85627345,"Census Tract 1171.01, Los Angeles County, California",117101,North Hills,1400000US06037117101,"(34.2391215, -118.4617905)",PM2.5_Concentration_2014_1400000US06037117101,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.79074536,"Census Tract 1171.02, Los Angeles County, California",117102,North Hills,1400000US06037117102,"(34.2463715, -118.4596495)",PM2.5_Concentration_2014_1400000US06037117102,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.79772258,"Census Tract 1172.01, Los Angeles County, California",117201,North Hills,1400000US06037117201,"(34.242798, -118.470143)",PM2.5_Concentration_2014_1400000US06037117201,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.76702464,"Census Tract 1172.02, Los Angeles County, California",117202,North Hills,1400000US06037117202,"(34.242857, -118.478624)",PM2.5_Concentration_2014_1400000US06037117202,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.73844172,"Census Tract 1173.01, Los Angeles County, California",117301,North Hills,1400000US06037117301,"(34.242917, -118.4905265)",PM2.5_Concentration_2014_1400000US06037117301,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.74527022,"Census Tract 1173.02, Los Angeles County, California",117302,Northridge,1400000US06037117302,"(34.235472, -118.49709)",PM2.5_Concentration_2014_1400000US06037117302,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.86483972,"Census Tract 1173.03, Los Angeles County, California",117303,North Hills,1400000US06037117303,"(34.2281815, -118.4920695)",PM2.5_Concentration_2014_1400000US06037117303,1/1/14
